indicator,release_datetime_CT,actual_raw,forecast_raw,negative,source_line
Construction Spending,2022-01-03T10:00:00-06:00,0.4%,0.6%,1,10:00	  USD		Construction Spending (MoM) (Nov)	0.4%	0.6%	0.4%
Construction Spending,2022-02-01T10:00:00-06:00,0.2%,0.6%,1,10:00	  USD		Construction Spending (MoM) (Dec)	0.2%	0.6%	0.6%
Construction Spending,2022-03-01T10:00:00-06:00,1.3%,0.2%,0,10:00	  USD		Construction Spending (MoM) (Jan)	1.3%	0.2%	0.8%
Construction Spending,2022-04-01T09:00:00-05:00,0.5%,1.0%,1,09:00	  USD		Construction Spending (MoM) (Feb)	0.5%	1.0%	1.6%
Construction Spending,2022-05-02T09:00:00-05:00,0.1%,0.7%,1,09:00	  USD		Construction Spending (MoM) (Mar)	0.1%	0.7%	0.5%
Construction Spending,2022-06-01T09:00:00-05:00,0.2%,0.5%,1,09:00	  USD		Construction Spending (MoM) (Apr)	0.2%	0.5%	0.3%
Construction Spending,2022-07-01T09:00:00-05:00,-0.1%,0.4%,1,09:00	  USD		Construction Spending (MoM) (May)	-0.1%	0.4%	0.8%
Construction Spending,2022-08-01T09:00:00-05:00,-1.1%,0.2%,1,09:00	  USD		Construction Spending (MoM) (Jun)	-1.1%	0.2%	0.1%
Construction Spending,2022-09-01T09:00:00-05:00,-0.4%,-0.4%,0,09:00	  USD		Construction Spending (MoM) (Jul)	-0.4%	-0.4%	-0.5%
Construction Spending,2022-10-03T09:00:00-05:00,-0.7%,-0.3%,1,09:00	  USD		Construction Spending (MoM) (Aug)	-0.7%	-0.3%	-0.6%
Construction Spending,2022-11-01T09:00:00-05:00,0.2%,-0.5%,0,09:00	  USD		Construction Spending (MoM) (Sep)	0.2%	-0.5%	-0.6%
Construction Spending,2022-12-01T10:00:00-06:00,-0.3%,-0.3%,0,10:00	  USD		Construction Spending (MoM) (Oct)	-0.3%	-0.3%	0.1%
Consumer Confidence,2022-01-25T10:00:00-06:00,113.8,111.8,0,10:00	  USD		CB Consumer Confidence (Jan)	113.8	111.8	115.2
Consumer Confidence,2022-02-22T10:00:00-06:00,110.5,110.0,0,10:00	  USD		CB Consumer Confidence (Feb)	110.5	110.0	111.1
Consumer Confidence,2022-03-29T09:00:00-05:00,107.2,107.0,0,09:00	  USD		CB Consumer Confidence (Mar)	107.2	107.0	105.7
Consumer Confidence,2022-04-26T09:00:00-05:00,107.3,108.0,1,09:00	  USD		CB Consumer Confidence (Apr)	107.3	108.0	107.6
Consumer Confidence,2022-05-31T09:00:00-05:00,106.4,103.9,0,09:00	  USD		CB Consumer Confidence (May)	106.4	103.9	108.6
Consumer Confidence,2022-06-28T09:00:00-05:00,98.7,100.4,1,09:00	  USD		CB Consumer Confidence (Jun)	98.7	100.4	103.2
